,y,date
756,1399,2022-02-16
757,1399,2022-02-17
758,1399,2022-02-18
759,1400,2022-02-19
760,1399,2022-02-20
761,1399,2022-02-21
762,1399,2022-02-22
763,1399,2022-02-23
764,1398,2022-02-24
765,1398,2022-02-25
766,1398,2022-02-26
767,1391,2022-02-27
768,1388,2022-02-28
769,1386,2022-03-01
770,1386,2022-03-02
771,1386,2022-03-03
772,1386,2022-03-04
773,1384,2022-03-05
774,1362,2022-03-06
775,1362,2022-03-07
776,1331,2022-03-08
777,1327,2022-03-09
778,1327,2022-03-10
779,1327,2022-03-11
780,1325,2022-03-12
781,1325,2022-03-13
782,1325,2022-03-14
783,1325,2022-03-15
784,1311,2022-03-16
785,1311,2022-03-17
786,1300,2022-03-18
787,1300,2022-03-19
788,1290,2022-03-20
789,1289,2022-03-21
790,1289,2022-03-22
791,1289,2022-03-23
792,1289,2022-03-24
793,1262,2022-03-25
794,1243,2022-03-26
795,1225,2022-03-27
796,1225,2022-03-28
797,1220,2022-03-29
798,1215,2022-03-30
799,1215,2022-03-31
800,1213,2022-04-01
801,1212,2022-04-02
802,1212,2022-04-03
803,1212,2022-04-04
804,1149,2022-04-05
805,1130,2022-04-06
806,1130,2022-04-07
807,1130,2022-04-08
808,1130,2022-04-09
809,1130,2022-04-10
810,1149,2022-04-11
811,1149,2022-04-12
812,1136,2022-04-13
813,1149,2022-04-14
814,1190,2022-04-15
815,1190,2022-04-16
816,1136,2022-04-17
817,1136,2022-04-18
818,1136,2022-04-19
819,1136,2022-04-20
820,1136,2022-04-21
821,1136,2022-04-22
822,1136,2022-04-23
823,1136,2022-04-24
824,1125,2022-04-25
825,1127,2022-04-26
826,1127,2022-04-27
827,1136,2022-04-28
828,1190,2022-04-29
829,1149,2022-04-30
830,1149,2022-05-01
831,1149,2022-05-02
832,1136,2022-05-03
833,1136,2022-05-04
834,1136,2022-05-05
835,1127,2022-05-06
836,1112,2022-05-07
837,1102,2022-05-08
838,1102,2022-05-09
839,1100,2022-05-10
840,1098,2022-05-11
841,1098,2022-05-12
842,1098,2022-05-13
843,1066,2022-05-14
844,1038,2022-05-15
845,1038,2022-05-16
846,1038,2022-05-17
847,1038,2022-05-18
848,1025,2022-05-19
849,1018,2022-05-20
850,1001,2022-05-21
851,1001,2022-05-22
852,1000,2022-05-23
853,1000,2022-05-24
854,941,2022-05-25
855,851,2022-05-26
856,851,2022-05-27
857,836,2022-05-28
858,836,2022-05-29
859,836,2022-05-30
860,825,2022-05-31
861,823,2022-06-01
862,823,2022-06-02
863,825,2022-06-03
864,823,2022-06-04
865,823,2022-06-05
866,823,2022-06-06
867,823,2022-06-07
868,823,2022-06-08
869,820,2022-06-09
870,817,2022-06-10
871,817,2022-06-11
872,799,2022-06-12
873,772,2022-06-13
874,772,2022-06-14
875,772,2022-06-15
876,772,2022-06-16
877,772,2022-06-17
878,772,2022-06-18
879,772,2022-06-19
880,799,2022-06-20
881,799,2022-06-21
882,799,2022-06-22
883,799,2022-06-23
884,772,2022-06-24
885,761,2022-06-25
886,761,2022-06-26
887,733,2022-06-27
888,712,2022-06-28
889,712,2022-06-29
890,712,2022-06-30
891,712,2022-07-01
892,670,2022-07-02
893,649,2022-07-03
894,670,2022-07-04
895,649,2022-07-05
896,649,2022-07-06
897,649,2022-07-07
898,649,2022-07-08
899,649,2022-07-09
900,649,2022-07-10
901,649,2022-07-11
902,649,2022-07-12
903,649,2022-07-13
904,649,2022-07-14
905,649,2022-07-15
906,649,2022-07-16
907,649,2022-07-17
908,649,2022-07-18
909,649,2022-07-19
910,647,2022-07-20
911,647,2022-07-21
912,632,2022-07-22
913,632,2022-07-23
914,632,2022-07-24
915,647,2022-07-25
916,647,2022-07-26
917,649,2022-07-27
918,647,2022-07-28
919,632,2022-07-29
920,627,2022-07-30
921,627,2022-07-31
922,625,2022-08-01
923,625,2022-08-02
924,625,2022-08-03
925,625,2022-08-04
926,615,2022-08-05
927,625,2022-08-06
928,615,2022-08-07
929,615,2022-08-08
930,610,2022-08-09
931,610,2022-08-10
932,610,2022-08-11
933,615,2022-08-12
934,620,2022-08-13
935,620,2022-08-14
936,615,2022-08-15
937,606,2022-08-16
938,577,2022-08-17
939,606,2022-08-18
940,620,2022-08-19
941,620,2022-08-20
942,620,2022-08-21
943,620,2022-08-22
944,620,2022-08-23
945,626,2022-08-24
946,626,2022-08-25
947,625,2022-08-26
948,625,2022-08-27
949,625,2022-08-28
950,625,2022-08-29
951,620,2022-08-30
952,625,2022-08-31
953,620,2022-09-01
954,620,2022-09-02
955,620,2022-09-03
956,620,2022-09-04
957,620,2022-09-05
958,620,2022-09-06
959,620,2022-09-07
960,625,2022-09-08
961,625,2022-09-09
962,625,2022-09-10
963,620,2022-09-11
964,616,2022-09-12
965,615,2022-09-13
966,605,2022-09-14
967,605,2022-09-15
968,605,2022-09-16
969,605,2022-09-17
970,596,2022-09-18
971,595,2022-09-19
972,595,2022-09-20
